idsubsls_261,kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,nmsls,kk,btt,bttk,bku,bbtt_nonusaha,usaha,idsls
5104010001000100,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARBATUR,0,0,0,0,0,0,51040100010001
5104010001000201,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARBUWITAN,0,0,0,0,0,0,51040100010002
5104010001000202,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARBUWITAN,0,0,0,0,0,1,51040100010002
5104010001000301,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARDENJALAN,0,0,0,0,0,15,51040100010003
5104010001000302,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARDENJALAN,0,0,0,0,0,0,51040100010003
5104010001000303,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARDENJALAN,0,0,0,0,0,1,51040100010003
5104010001000304,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARDENJALAN,0,0,0,0,0,7,51040100010003
5104010001000305,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARDENJALAN,0,0,0,0,0,3,51040100010003
5104010001000306,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARDENJALAN,0,0,0,0,0,2,51040100010003
5104010001000307,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARDENJALAN,0,0,0,0,0,3,51040100010003
5104010001000401,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKALAH,0,0,0,0,0,0,51040100010004
5104010001000402,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKALAH,0,0,0,0,0,0,51040100010004
5104010001000501,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000502,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000503,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,1,51040100010005
5104010001000504,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000505,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000506,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000507,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000508,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000509,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000510,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000511,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000512,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000513,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000514,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,1,51040100010005
5104010001000515,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000516,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARKAPAL,0,0,0,0,0,0,51040100010005
5104010001000601,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000602,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000603,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000604,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000605,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000606,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000607,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,2,51040100010006
5104010001000608,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000609,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000610,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000611,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000612,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000613,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARMENGUNTUR,0,0,0,0,0,0,51040100010006
5104010001000701,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPAGUTANKAJA,0,0,0,0,0,1,51040100010007
5104010001000702,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPAGUTANKAJA,0,0,0,0,0,0,51040100010007
5104010001000800,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPAGUTANKELOD,0,0,0,0,0,0,51040100010008
5104010001000901,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000902,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
5104010001000903,51,BALI,04,GIANYAR,010,SUKAWATI,001,BATUBULAN,BANJARPEGAMBANGAN,0,0,0,0,0,0,51040100010009
